대여소_ID,위도,경도,동
ST-595,37.58342,127.079926,면목동
ST-594,37.608101,127.101181,신내동
ST-593,37.608681,127.100792,신내동
ST-592,37.579868,127.082367,면목동
ST-591,37.589931,127.079811,면목동
ST-590,37.573589,127.086823,면목동
ST-59,37.521908,126.918953,여의도동
ST-589,37.58746,127.09597,면목동
ST-588,37.606312,127.107742,망우동
ST-587,37.620098,127.106461,신내동
ST-586,37.612461,127.103378,망우동
ST-585,37.613945,127.097702,신내동
ST-584,37.616707,127.11026,신내동
ST-583,37.617439,127.109016,신내동
ST-582,37.611309,127.06266,석관동
ST-581,37.597599,127.089218,상봉동
ST-580,37.612999,127.06131,석관동
ST-58,37.521362,126.923462,여의도동
ST-579,37.610291,127.058884,석관동
ST-578,37.613518,127.066154,석관동
ST-577,37.617561,127.090309,묵동
ST-576,37.61776,127.055969,장위동
ST-575,37.590961,127.087067,면목동
ST-574,37.607342,127.050682,상월곡동
ST-573,37.577782,127.090187,면목동
ST-572,37.606068,127.047318,상월곡동
ST-571,37.605808,127.047737,상월곡동
ST-570,37.610722,127.077477,묵동
ST-57,37.522228,126.924637,여의도동
ST-569,37.606251,127.108269,망우동
ST-568,37.599098,127.092949,상봉동
ST-567,37.600433,127.040207,종암동
ST-566,37.59425,127.076576,중화동
ST-565,37.598068,127.039276,종암동
ST-564,37.60302,127.033295,종암동
ST-563,37.603085,127.024788,길음동
ST-562,37.607262,127.002838,정릉동
ST-561,37.600071,127.102333,망우동
ST-560,37.607761,127.003281,정릉동
ST-56,37.525433,126.924606,여의도동
ST-559,37.60244,127.011688,정릉동
ST-558,37.614738,127.076363,묵동
ST-557,37.603245,127.014191,정릉동
ST-556,37.60379,127.01503,정릉동
ST-555,37.581097,126.924026,남가좌동
ST-554,37.580597,126.923027,남가좌동
ST-553,37.508873,127.087166,잠실동
ST-552,37.508888,127.097229,잠실동
ST-551,37.510509,127.093369,잠실동
ST-550,37.511841,127.095688,잠실동
ST-55,37.524612,126.927834,여의도동
ST-549,37.490688,127.143127,거여동
ST-548,37.512169,127.078934,잠실동
ST-547,37.511982,127.085052,잠실동
ST-546,37.505692,127.084038,잠실동
ST-545,37.479305,127.129799,장지동
ST-544,37.516571,127.131538,방이동
ST-543,37.50832,127.133217,오금동
ST-542,37.520451,127.104202,신천동
ST-541,37.529747,127.119965,풍납동
ST-540,37.51128,127.078239,잠실동
ST-54,37.527985,126.929207,여의도동
ST-539,37.510429,127.071373,잠실동
ST-538,37.54147,126.84478,화곡동
ST-537,37.530338,126.838257,화곡동
ST-536,37.528919,126.848084,화곡동
ST-535,37.52906,126.84848,화곡동
ST-534,37.531399,126.863609,화곡동
ST-533,37.538521,126.863434,등촌동
ST-532,37.541264,126.863373,등촌동
ST-531,37.544567,126.861969,등촌동
ST-530,37.546532,126.862549,등촌동
ST-53,37.524666,126.918022,여의도동
ST-529,37.548061,126.86042,등촌동
ST-528,37.551109,126.863709,등촌동
ST-527,37.546444,126.845459,화곡동
ST-526,37.542751,126.842621,화곡동
ST-525,37.542099,126.840218,화곡동
ST-524,37.540981,126.838547,화곡동
ST-523,37.548908,126.836563,화곡동
ST-522,37.558178,126.838455,내발산동
ST-521,37.57048,126.849503,가양동
ST-520,37.561924,126.864166,가양동
ST-52,37.526264,126.920509,여의도동
ST-519,37.559479,126.86438,가양동
ST-518,37.564785,126.854645,가양동
ST-517,37.554253,126.867561,염창동
ST-516,37.557461,126.861458,등촌동
ST-515,37.572781,126.826279,마곡동
ST-514,37.573124,126.822388,마곡동
ST-513,37.568577,126.824776,마곡동
ST-512,37.566982,126.8218,마곡동
ST-511,37.563347,126.810486,공항동
ST-510,37.563873,126.810608,방화동
ST-51,37.528057,126.918701,여의도동
ST-509,37.581623,126.812653,방화동
ST-508,37.573643,126.811806,방화동
ST-507,37.581612,126.798599,개화동
ST-506,37.544159,127.056656,성수동2가
ST-505,37.533779,127.137993,성내동
ST-504,37.564274,127.173973,강일동
ST-503,37.528252,127.126801,성내동
ST-502,37.526794,127.130058,성내동
ST-501,37.535446,127.145187,길동
ST-500,37.559399,127.171181,강일동
ST-50,37.528164,126.917023,여의도동
ST-5,37.554951,126.910835,망원동
ST-499,37.550037,127.146912,명일동
ST-498,37.5508,127.142952,명일동
ST-497,37.530716,127.120987,성내동
ST-496,37.536007,127.122726,성내동
ST-495,37.534744,127.135284,성내동
ST-494,37.534508,127.138405,길동
ST-493,37.538666,127.124245,천호동
ST-492,37.549355,127.127083,암사동
ST-491,37.559559,127.130875,암사동
ST-490,37.554867,127.142799,암사동
ST-488,37.553329,127.128868,암사동
ST-487,37.543957,127.125488,천호동
ST-486,37.545265,127.125938,천호동
ST-485,37.541794,127.124748,천호동
ST-484,37.484215,126.996292,방배동
ST-483,37.532688,127.067497,자양동
ST-482,37.545418,127.052643,성수동2가
ST-481,37.612484,126.914879,구산동
ST-480,37.610004,126.916397,구산동
ST-48,37.557598,127.065308,용답동
ST-479,37.604736,126.915337,역촌동
ST-478,37.601662,126.920303,역촌동
ST-477,37.601051,126.924225,응암동
ST-476,37.641315,126.938042,진관동
ST-475,37.617855,126.922524,불광동
ST-474,37.611179,126.929665,불광동
ST-473,37.609566,126.930977,불광동
ST-472,37.628517,126.929581,진관동
ST-471,37.620949,126.925636,불광동
ST-470,37.617802,126.921967,대조동
ST-47,37.528816,126.92453,여의도동
ST-469,37.630016,126.919029,진관동
ST-467,37.607025,126.933311,녹번동
ST-466,37.612679,126.927757,대조동
ST-465,37.600746,126.935013,응암동
ST-464,37.607849,126.921326,역촌동
ST-463,37.584381,126.909897,증산동
ST-462,37.590809,126.913689,응암동
ST-461,37.6007,126.920128,응암동
ST-460,37.589661,126.916946,응암동
ST-46,37.531239,126.921333,여의도동
ST-459,37.605583,126.922935,녹번동
ST-457,37.586994,126.922882,응암동
ST-456,37.613186,126.917351,갈현동
ST-455,37.599495,126.916985,응암동
ST-454,37.61721,126.919579,대조동
ST-453,37.636234,126.918999,진관동
ST-452,37.648674,126.930702,진관동
ST-451,37.645866,126.927391,진관동
ST-450,37.643108,126.918221,진관동
ST-45,37.528416,126.913918,여의도동
ST-449,37.600975,126.926956,응암동
ST-448,37.603943,126.927696,녹번동
ST-447,37.565941,127.045395,마장동
ST-446,37.536808,127.055489,성수동2가
ST-445,37.547829,127.072632,군자동
ST-444,37.585735,127.00161,혜화동
ST-443,37.566845,126.896446,성산동
ST-442,37.520336,126.994263,서빙고동
ST-441,37.54232,126.96196,효창동
ST-440,37.522026,126.966187,한강로3가
ST-439,37.549026,126.971947,갈월동
ST-438,37.541653,126.970505,청파동3가
ST-437,37.544895,126.969383,청파동2가
ST-436,37.533451,126.971733,한강로1가
ST-435,37.530148,126.968483,한강로2가
ST-434,37.537514,126.967567,문배동
ST-433,37.536671,126.832184,신월동
ST-432,37.516197,126.8349,신월동
ST-431,37.531097,126.864029,목동
ST-430,37.522659,126.870834,신정동
ST-43,37.559864,126.934418,창천동
ST-429,37.514713,126.860916,신정동
ST-428,37.517319,126.864319,신정동
ST-427,37.52845,126.8722,목동
ST-426,37.535339,126.903679,당산동6가
ST-425,37.518963,126.921616,여의도동
ST-424,37.522343,126.927101,여의도동
ST-422,37.534718,126.900002,당산동5가
ST-421,37.535961,126.8983,양평동4가
ST-420,37.520294,126.901192,영등포동4가
ST-42,37.562382,126.932648,연희동
ST-419,37.521133,126.896538,당산동1가
ST-418,37.521931,126.891617,당산동2가
ST-417,37.517151,126.888626,문래동5가
ST-416,37.519089,126.889099,문래동6가
ST-414,37.533657,126.912163,여의도동
ST-413,37.524635,126.896217,당산동3가
ST-410,37.566971,127.074295,장안동
ST-41,37.560009,126.940735,신촌동
ST-409,37.570354,127.048431,답십리동
ST-408,37.573753,127.038536,용두동
ST-407,37.58255,127.044601,청량리동
ST-406,37.585045,127.060272,휘경동
