상호명,주소,신주소,경도,위도
아르코 미술관,110-809 서울 종로구 동숭동 1-130 ,"03087 서울 종로구 동숭길 3 (동숭동, 한국문화예술진흥원) ",,
아름다운 차박물관,110-290 서울 종로구 인사동 193-1 193-1번지,03162 서울 종로구 인사동길 19-11 ,,
아모레퍼시픽미술관, 서울 용산구 한강로2가 424 ,"04386 서울 용산구 한강대로 100 (한강로2가, 아모레퍼시픽) ",126.968617425948,37.5288520713448
아원공방,  ,03053 서울 종로구 북촌로5가길 3 ,,
아트사이드 갤러리, 서울 종로구 통의동 32 ,"03044 서울 종로구 자하문로6길 15 (통의동, 갤러리 아트싸이드) ",126.972946031397,37.5782683724918
안경박사 본점, 서울 성북구 정릉동 414-10 ,"02718 서울 성북구 보국문로 10 (정릉동, 부광빌딩) ",127.011718461754,37.6055398661903
애플하우스, 서울 동작구 사당동 138-4 ,"07008 서울 동작구 동작대로27다길 29 (사당동, 서광시티뷰) 2층",126.980635705923,37.4862606351866
이음피움 봉제역사관, 서울 종로구 창신동 647-50 ,"03097 서울 종로구 창신4가길 26 (창신동, 이음피움 봉제역사관) ",127.010315251354,37.5748030042929
형제대장간 , 서울 은평구 수색동 102-49 ,03504 서울 은평구 수색로 249 (수색동) ,126.896044689867,37.5814644113401
안동교회 소허당,110-240 서울 종로구 안국동 27 27번지,03061 서울 종로구 윤보선길 57 (안동교회) ,,
안중근의사기념관,100-802 서울 중구 남대문로5가 471 471-2번지,"04636 서울 중구 소월로 91 (남대문로5가, 안중근의사기념관) ",,
암사동 선사주거지,134-876 서울 강동구 암사동 155 ,05239 서울 강동구 올림픽로 875 (서울 암사동 유적) ,,
약현성당,100-858 서울 중구 중림동 149-2 149-2,04506 서울시 중구 청파로 447-1 ,,
양화진외국인선교사묘원,121-883 서울 마포구 합정동 144 ,"04084 서울 마포구 양화진길 46 (합정동, 양화진홍보관) ",,
어린이대공원 꿈마루, 서울 광진구 능동 18 ,"04991 서울 광진구 능동로 216 (능동, 어린이대공원) ",127.081029366122,37.5495607217233
엘부림양복점, 서울 동대문구 답십리동 488-46 ,"02621 서울 동대문구 전농로 24 (답십리동, 계림빌딩) ",127.056937932843,37.5670030534555
연세대 캠퍼스,120-749 서울 서대문구 신촌동 134 ,"03722 서울 서대문구 연세로 50 (신촌동, 연세대학교) ",,
연세대학교 스팀슨관&언더우드관&아펜젤러관,120-140 서울 서대문구 신촌동 134,03722 서울특별시 서대문구 연세로 50 (신촌동) ,,
연희사진관,  ,03767 서울 서대문구 이화여대길 16 ,,
영학정,158-050 서울 양천구 목동 915 409-74,07990 서울 양천구 목동동로 316-8 (영학정) ,,
영휘원 숭인원(홍릉),130-868 서울 동대문구 청량리동 205 ,02456 서울 동대문구 홍릉로 90 (영휘원) ,,
예문사,  ,04550 서울 중구 을지로 126-1 ,,
예술가의 집 (구 서울대학교 본관),110-809 서울 종로구 동숭동 1-130,110-809 서울특별시 종로구 동숭길 3 (동숭동) ,,
옛날집낙원아구찜, 서울 종로구 낙원동 48 ,03133 서울 종로구 삼일대로 436 (낙원동) ,126.98800593666,37.5734959527358
옛시장실 재현 공간, 서울 중구 태평로1가 31 서울도서관 3층,"04524 서울 중구 세종대로 110 (태평로1가, 서울특별시청) 서울도서관 3층",126.978203640984,37.566585446882
오보코 갤러리,136-823 서울 성북구 성북동 26-4 오보코갤러리,02837 서울특별시 성북구 선잠로5길 15  (성북동) ,,
오장동함흥냉면,100-310 서울 중구 오장동 90-10 90-10,"04559 서울 중구 마른내로 108 (오장동, 오장동함흥냉면) ",,
옥상정원 (The Roof), 서울 중구 봉래동2가 122-11 ,"04509 서울 중구 한강대로 405 (봉래동2가, 경부고속철도서울민자역사) ",126.969433231383,37.55600841335
용산공원 부분개방부지, 서울 용산구 용산동6가 22-1 ,"04383 서울 용산구 서빙고로 221 (용산동6가, 미군 장교숙소5단지) ",126.988912329235,37.5223435468049
운현궁 ,110-350 서울 종로구 운니동 114-10 ,03131 서울 종로구 삼일대로 464 (운현궁) ,,
원효로성당,140-850 서울 용산구 원효로4가 1-1 원효로성당,04361 서울 용산구 원효로19길 49 (원효로4가) ,,
유림면,100-813 서울 중구 서소문동 16 16,04515 서울 중구 서소문로 139-1 (서소문동) ,,
유일한의원,  ,03124 서울 종로구 율곡로30길 17-3 ,,
유홍식 수제화 명장 1호,  ,04794 서울 성동구 아차산로 97 2층 ,,
윤봉길 의사 기념관,137-893 서울 서초구 양재동 236 ,06773 서울 서초구 매헌로 99 ,,
은평한옥마을, 서울 은평구 진관동 135-5 ,"03308 서울 은평구 연서로50길 8 (진관동, 은평역사한옥박물관) 은평한옥마을",126.938008171987,37.6403336262874
을지다방,  ,04550 서울 중구 을지로 124-1 2층 ,,
의릉,136-716 서울 성북구 석관동 산1-5 ,02789 서울 성북구 화랑로32길 146-37 (의릉) ,,
