대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2615,서울특별시 관악구 봉천동 269-4,,37.471855,126.958717,관악구,121.0,6.368421052631579
ST-2614,서울특별시 관악구 남부순환로1537,,37.483131,126.921356,관악구,651.0,34.26315789473684
ST-2613,서울특별시 강서구 강서구 공항대로 308,,37.558029,126.841835,강서구,1202.0,60.1
ST-2612,서울특별시 강서구 양천로452,,37.563011,126.851006,강서구,,
ST-2611,서울특별시 강서구 초원로16길 3-9 안성빌라,,37.567406,126.816216,강서구,1430.0,71.5
ST-2610,서울특별시 강북구 서울 강북구 번동 255도,,37.628685,127.043907,강북구,668.0,37.111111111111114
ST-261,서울특별시 동대문구 용두동 65-25,용신동주민센터,37.575947,127.037361,동대문구,317.0,31.7
ST-2609,서울특별시 송파구 신천동 6,,37.521484,127.100281,송파구,890.0,63.57142857142857
ST-2608,서울특별시 송파구 올림픽로 424,,37.520218,127.114571,송파구,747.0,53.357142857142854
ST-2607,서울특별시 송파구 양산로4길 16,,37.48933,127.14605,송파구,388.0,27.714285714285715
ST-2606,서울특별시 송파구 가락동 184-23,,37.492733,127.117989,송파구,646.0,46.142857142857146
ST-2605,서울특별시 송파구 장지동 662,,37.476002,127.1231,송파구,885.0,63.214285714285715
ST-2604,서울특별시 송파구 풍납동 425,,37.528652,127.108665,송파구,,
ST-2603,서울특별시 송파구 송이로31길 66 세양청마루아파트,,37.492367,127.136551,송파구,343.0,24.5
ST-2602,서울특별시 송파구 올림픽로4길 15,,37.50679,127.079269,송파구,916.0,65.42857142857143
ST-2601,서울특별시 송파구 올림픽로 435,,37.519211,127.107941,송파구,858.0,61.285714285714285
ST-2600,서울특별시 송파구 마천동 36,,37.499004,127.146942,송파구,197.0,14.071428571428571
ST-260,서울특별시 동대문구 한천로 329,휘경2동 주민센터,37.589912,127.06868,동대문구,201.0,12.5625
ST-26,서울특별시 마포구 서강로16길 72,84-5,37.55114,126.936989,마포구,782.0,37.23809523809524
