대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2315,서울특별시 광진구 구의동 245-7,,37.538177,127.090904,광진구,,
ST-2314,서울특별시 광진구 아차산로 360 서원빌딩,,37.536575,127.082581,광진구,7430.0,285.7692307692308
ST-2313,서울특별시 광진구 광나루로 604 진넥스 베르디엠,,37.541554,127.095108,광진구,,
ST-2312,서울특별시 광진구 능동 18,,37.551338,127.076714,광진구,4366.0,167.92307692307693
ST-2311,서울특별시 광진구 중곡동 165-9,,37.563145,127.082619,광진구,,
ST-2310,서울특별시 광진구 화양동 24-33,,37.54435,127.065407,광진구,8892.0,342.0
ST-231,서울특별시 서대문구 모래내로 286 홍은2공중화장실,,37.578068,126.930885,서대문구,3132.0,125.28
ST-2309,서울특별시 광진구 아차산로 417,,37.538097,127.08902,광진구,8186.0,314.84615384615387
ST-2308,서울특별시 광진구 화양동 4-1,,37.539566,127.072441,광진구,11588.0,445.6923076923077
ST-2307,서울특별시 광진구 강변역로 94-2 가로판매대 - 34,,37.536903,127.094009,광진구,,
ST-2306,서울특별시 광진구 뚝섬로36길 69,,37.531631,127.069771,광진구,,
ST-2305,서울특별시 광진구 자양동 712,,37.535072,127.076111,광진구,4258.0,163.76923076923077
ST-2304,서울특별시 광진구 광나루로56길 86 구의공원 공중화장실,,37.536911,127.094055,광진구,,
ST-2303,서울특별시 광진구 구의동 175-1,,37.547073,127.098289,광진구,620.0,24.8
ST-2302,서울특별시 광진구 구의강변로3가길 33 구의7단지조합현대아파트,,37.5368,127.090836,광진구,526.0,20.23076923076923
ST-2301,서울특별시 중랑구 동일로 566 중랑경찰서용마지구대,,37.581112,127.080101,중랑구,,
ST-2300,서울특별시 중랑구 사가정로 326 중랑구 실향민협의회,,37.581055,127.082092,중랑구,,
ST-230,서울특별시 서대문구 충정로2가 138,서대문역 8번출구 앞,37.564777,126.966148,서대문구,898.0,35.92
ST-23,서울특별시 마포구 창전로 76,100-18,37.549767,126.933174,마포구,2006.0,80.24
ST-2299,서울특별시 중랑구 상봉동 500-1,,37.598328,127.09227,중랑구,,
ST-2298,서울특별시 중랑구 동일로 501 면목삼익아파트,,37.575985,127.079605,중랑구,,
ST-2297,서울특별시 중랑구 동일로 665 중목초등학교,,37.589794,127.079857,중랑구,,
ST-2296,서울특별시 중랑구 상봉동 397-3,,37.5928,127.080025,중랑구,,
ST-2295,서울특별시 중랑구 망우로 271 서울중랑우체국,,37.595814,127.08284,중랑구,,
ST-2294,서울특별시 중랑구 중화동 321-129,,37.594891,127.074951,중랑구,,
ST-2293,서울특별시 중랑구 동일로 824 신성빌딩,,37.604084,127.079231,중랑구,,
ST-2292,서울특별시 중랑구 묵동 190-2,,37.615353,127.078491,중랑구,,
ST-2291,서울특별시 중랑구 동일로 837 우리은행,,37.605202,127.078583,중랑구,,
ST-2290,서울특별시 중랑구 동일로 890,,37.609821,127.078133,중랑구,,
ST-229,서울 영등포구 영등포로34길 3,영등포로,37.519951,126.902451,영등포구,,
ST-2289,서울특별시 중랑구 동일로 901 먹골역,,37.611477,127.077393,중랑구,,
ST-2288,서울특별시 중랑구 신내동 353-2,,37.613621,127.101151,중랑구,,
ST-2287,서울특별시 중랑구 신내로23길 9 묵동근생빌딩,,37.618824,127.08757,중랑구,,
ST-2286,서울특별시 중랑구 신내동 63-8,,37.613148,127.105148,중랑구,,
ST-2285,서울특별시 중랑구 동일로 815,,37.603054,127.079002,중랑구,,
ST-2284,서울특별시 중랑구 면목로 238 중랑구민회관,,37.574078,127.085007,중랑구,,
ST-2283,서울특별시 중랑구 망우로 214 우도빌딩,,37.593868,127.076523,중랑구,,
ST-2282,서울특별시 중랑구 망우로 203 중화동주상복합,,37.593853,127.075073,중랑구,,
ST-2281,서울특별시 동대문구 전농로 168 서울동부교육지원청,,37.579838,127.056374,동대문구,526.0,20.23076923076923
ST-2280,서울특별시 동대문구 이문동 346-131,,37.592384,127.057411,동대문구,4608.0,177.23076923076923
ST-228,서울특별시 서대문구 미근동 317-1,임광빌딩 앞,37.564724,126.967278,서대문구,1334.0,53.36
ST-2279,서울특별시 동대문구 사가정로 150,,37.577877,127.061684,동대문구,986.0,37.92307692307692
ST-2278,서울특별시 동대문구 장안벚꽃로1길 7 장안 힐스테이트,,37.576557,127.07431,동대문구,4962.0,190.84615384615384
ST-2277,서울특별시 동대문구 왕산로 202-1 가로판매대,,37.580151,127.045799,동대문구,,
ST-2276,서울특별시 동대문구 제기동 891-2,,37.581432,127.035477,동대문구,1588.0,61.07692307692308
ST-2275,서울특별시 동대문구 장안동 481-3,,37.572025,127.077003,동대문구,,
ST-2274,서울특별시 성북구 안암동5가 40-11,,37.586552,127.033142,성북구,3952.0,152.0
ST-2273,서울특별시 동대문구 약령시로 25 안암골 벽산아파트,,37.58408,127.031036,동대문구,2066.0,79.46153846153847
ST-2272,서울특별시 동대문구 안암로 6 대광중고등학교,,37.578751,127.024025,동대문구,2574.0,99.0
ST-2271,서울특별시 동대문구 신설동 81-197,,37.577343,127.023376,동대문구,1508.0,58.0
ST-2270,서울특별시 동대문구 망우로 74,,37.589676,127.061516,동대문구,9124.0,350.9230769230769
ST-227,서울특별시 서대문구 남가좌동 124,가재울 뉴타운 주유소 옆,37.573112,126.922447,서대문구,2532.0,101.28
ST-2269,서울특별시 동대문구 서울시립대로 14 청계한신휴플러스,,37.572147,127.044609,동대문구,3136.0,120.61538461538461
ST-2268,서울특별시 동대문구 장한로 99-1 구두수선대,,37.567871,127.068718,동대문구,8110.0,311.9230769230769
ST-2267,서울특별시 동대문구 홍릉로 30-2 구두수선대,,37.586708,127.046883,동대문구,1634.0,62.84615384615385
ST-2266,서울특별시 동대문구 한천로58길 151 이문동대성유니드아파트,,37.603622,127.070831,동대문구,1930.0,74.23076923076923
ST-2265,서울특별시 동대문구 한천로58길 47 쌍용아파트,,37.599606,127.068642,동대문구,2174.0,83.61538461538461
ST-2264,서울특별시 은평구 연서로 9 센타폴리스,,37.599968,126.915726,은평구,9404.0,361.6923076923077
ST-2263,서울특별시 은평구 진관1로 52,,37.631409,126.925407,은평구,1226.0,47.15384615384615
ST-2262,서울특별시 은평구 불광동 2-1,,37.610508,126.938538,은평구,602.0,23.153846153846153
ST-2261,서울특별시 은평구 진관동 235-2,,37.630287,126.919563,은평구,1308.0,50.30769230769231
ST-2260,서울특별시 은평구 진관동 289,,37.658287,126.945297,은평구,610.0,23.46153846153846
ST-226,서울특별시 서대문구 북가좌동 400,북가좌 삼거리,37.573002,126.907799,서대문구,1258.0,50.32
ST-2259,서울특별시 은평구 진관동 298-2,,37.656769,126.942009,은평구,566.0,21.76923076923077
ST-2258,서울특별시 은평구 불광동 484-81,,37.620831,126.920265,은평구,,
ST-2257,서울특별시 은평구 가좌로 255,,37.591812,126.914833,은평구,4624.0,177.84615384615384
ST-2256,서울특별시 은평구 진관동 81-2,,37.634254,126.927193,은평구,,
ST-2255,서울특별시 은평구 연서로 298,,37.62204,126.92701,은평구,,
ST-2254,서울특별시 은평구 통일로 780 미성아파트,,37.614403,126.926796,은평구,,
ST-2253,서울특별시 은평구 은평로 170 상현빌딩,,37.601192,126.926384,은평구,3250.0,125.0
ST-2252,서울특별시 은평구 가좌로 316 상신교회,,37.59581,126.910263,은평구,2650.0,101.92307692307692
ST-2251,서울특별시 은평구 진관동 산110-28,,37.630039,126.919037,은평구,,
ST-2250,서울특별시 은평구 녹번동 81-27,,37.604126,126.925087,은평구,1874.0,72.07692307692308
ST-225,서울특별시 서대문구 남가좌동 185-21,남가좌동 시장삼거리,37.566212,126.896179,서대문구,,
ST-2249,서울특별시 은평구 진관2로 29-8 서울은평우체국,,37.635151,126.920479,은평구,,
ST-2248,서울특별시 은평구 수색동 387-3,,37.583332,126.893761,은평구,,
ST-2247,서울특별시 은평구 신사동 178-9,,37.591862,126.906082,은평구,1570.0,60.38461538461539
ST-2246,서울특별시 은평구 통일로 602-1 지하철3호선 녹번역,,37.601009,126.935928,은평구,494.0,19.76
ST-2245,서울특별시 은평구 진관동 148-31,,37.633102,126.931503,은평구,480.0,18.46153846153846
ST-2244,서울특별시 은평구 진관4로 26 진관고등학교,,37.643509,126.924103,은평구,1534.0,59.0
ST-2243,서울특별시 은평구 백련산로 38 백련산 힐스테이트 2차,,37.590363,126.923012,은평구,1358.0,52.23076923076923
ST-2242,서울특별시 은평구 불광동 70-1,,37.62672,126.929016,은평구,364.0,14.0
ST-2241,서울특별시 은평구 진관동 136-45,,37.637348,126.935844,은평구,512.0,19.692307692307693
ST-2240,서울특별시 용산구 이촌동 304-11,,37.517319,126.958298,용산구,12222.0,470.0769230769231
ST-224,서울특별시 서대문구 북가좌동 70-119,연가초등학교 옆,37.57946,126.91713,서대문구,1282.0,51.28
ST-2239,서울특별시 용산구 이촌동 303-8,,37.517296,126.959145,용산구,1526.0,58.69230769230769
ST-2238,서울특별시 성북구 오패산로 90 래미안월곡아파트,,37.612103,127.036591,성북구,,
ST-2237,서울특별시 성북구 장위동 201-6,,37.618443,127.051453,성북구,3258.0,125.3076923076923
ST-2236,서울특별시 성북구 장위동 143-12,,37.618179,127.051834,성북구,2286.0,87.92307692307692
ST-2235,서울특별시 성북구 정릉로 325-1,,37.602425,127.019981,성북구,1750.0,67.3076923076923
ST-2234,서울특별시 성북구 돈암동 48-93,,37.598183,127.021179,성북구,794.0,30.53846153846154
ST-2233,서울특별시 성북구 돈암동 632-6,,37.597099,127.022629,성북구,528.0,21.12
ST-2232,서울특별시 성북구 장위로 189 천미빌딩,,37.616882,127.056068,성북구,1474.0,56.69230769230769
ST-2231,서울특별시 성북구 석관동 323-2,,37.606461,127.061623,성북구,3356.0,129.07692307692307
ST-2230,서울특별시 성북구 고려대로 76,,37.586121,127.027611,성북구,,
ST-223,서울특별시 서대문구 남가좌동 385-16,,37.573818,126.919235,서대문구,3984.0,159.36
ST-2229,서울특별시 성북구 동소문동3가 66-1,,37.590881,127.011703,성북구,1454.0,55.92307692307692
ST-2228,서울 성북구 동소문로 258,,37.603909,127.025017,성북구,,
ST-2227,서울특별시 성북구 동소문로 130,,37.594158,127.018967,성북구,968.0,37.23076923076923
ST-2226,서울특별시 성북구 동소문로 98 제일은행,,37.592365,127.016289,성북구,3534.0,135.92307692307693
ST-2225,서울특별시 성북구 동소문동6가 140-5,,37.592827,127.016289,성북구,3144.0,120.92307692307692
